Departement,URL,Titre,Type_Bien,Localisation,Prix,Surface_m2,Nb_Pieces,Description
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-16-75016/1773562,Achat :Appartement T4- Paris 16 - Paris (75),Appartement T4,- Paris 16 - Paris (75),699000,76.4,3,"PARIS 16 / AUTEUIL - APPARTEMENT 4 PIÈCES AVEC BALCON + CAVE
Village Auteuil. Rue Poussin. Au sein d'un bel immeuble moderne, bien entretenu. Un bel appartement familial de 4 pièces de 83,77m2 (76,40m² loi Carrez). Situé au 1er étage, il se compose d'une entrée, triple-séjour, 2 chambres (possibilité 3), cuisine séparée, WC indépendant et salle de bains. Nombreux rangements. Balcon sur cour.
Cet appartement nécessite un rafraichissement.
Exposition NORD-SUD.
Une cave complète ce bien.
Chauffage collectif GAZ et eau chaude individuelle GAZ.
DPE : Classe D (246kWh/m²/an) / GES : Classe D (46 kgCO²/m²/an)
Quartier très recherché. Proximité immédiate : Métro Michel-Ange, Bus, Écoles (de la maternelle au lycée), Parc Sainte-Périne, Bois de Boulogne et tout commerces.
Coup de cœur assuré, à visiter sans tarder !
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-09-75009/1868400,Achat :Appartement T6- Paris 9 - Paris (75),Appartement T6,- Paris 9 - Paris (75),1970000,142.0,4,"HAUSSMANNIEN - CALME ET STANDING
Appartement de 6 pièces au 4ème étage avec ascenseur au sein d'un immeuble haussmannien dans une impasse végétalisée, proche du métro Liège.
Il se compose d'une entrée avec dressings, d'un salon, d'une salle à manger, d'une cuisine dinatoire, de 4 belles chambres, de 2 salles de douche, de 2 WC et de balconnets. Le bien a entièrement été rénové avec des matériaux de qualité. De très beaux éléments anciens décorent l'appartement: moulures, parquet en chêne, cheminée en marbre, radiateurs en fonte décorés. Aucuns travaux à prévoir. Une cave complète le bien.
Gardien, façade ravalée, parties communes en très bon état. Pas de dépenses à venir dans la copropriété, pas de procédure."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-04-75004/1808391,Achat :Appartement T2- Paris 4 - Paris (75),Appartement T2,- Paris 4 - Paris (75),619900,47.38,1,"au cœur du 4ème arrondissement, à deux pas de la Place de la Bastille et des quais de Seine Boulevard Bourdon :
Situé au 4ème étage avec ascenseur d’un immeuble de caractère datant de 1880, ce très bel appartement de 47 m² séduit par son élégance et ses prestations soignées.
Il se compose d’une entrée , d’une cuisine équipée, d’un lumineux salon-séjour aux beaux volumes, d’un espace chambre confortable et d’une salle d’eau avec WC. Aucun travaux n’est à prévoir : vous n’aurez plus qu’à poser vos valises.
Une cave complète ce bien rare.
Charges annuelles maîtrisées : 1 240 €.
Atouts de situation : Métro Bastille à seulement 3 minutes à pied, Gare de Lyon à 10 minutes, proximité immédiate des commerces, restaurants et des berges de Seine.
Un pied-à-terre idéal ou une résidence principale de qualité dans un quartier recherché de Paris."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1819295,Achat :Appartement T4- Paris 15 - Paris (75),Appartement T4,- Paris 15 - Paris (75),695000,67.7,2,"À vendre à Paris 15ᵉ arrondissement, quartier Javel (rue des Cévennes) :
Au 8ᵉ et dernier étage avec ascenseur d’un immeuble sécurisé et bien entretenu avec gardienne, appartement traversant de 67,70 m² loi Carrez, comprenant 4 pièces principales et un balcon exposé Sud.
L’appartement comprend une entrée avec placards, un double séjour ouvrant sur un balcon côté cour exposé Sud, ainsi qu’une cuisine indépendante. Le coin nuit se compose de deux chambres avec placards et offrant une vue dégagée sur la Tour Eiffel côté Nord. Une salle de bains et des WC séparés complètent l’ensemble. De nombreux rangements sont présents.
Une cave en rez-de-chaussée complète ce bien.
Une place de parking au sous-sol de la résidence est disponible en supplément du prix, pour la somme de 15 000 euros.
L’appartement se situe au cœur du quartier Javel, à proximité immédiate de toutes les commodités et de plusieurs espaces verts. Il bénéficie d’une excellente desserte en transports en commun : métro ligne 8 station Lourmel à environ 500 mètres et métro ligne 10 station Javel-André Citroën à environ 750 mètres.
Caractères favorables : dernier étage avec ascenseur, appartement traversant, belle exposition Sud/Nord, balcon exposé Sud, vue Tour Eiffel depuis les chambres, beaux volumes intérieurs, bon état général.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-14-75014/1867273,Achat :Appartement T4- Paris 14 - Paris (75),Appartement T4,- Paris 14 - Paris (75),680000,79.54,2,"Alésia, au premier étage avec ascenseur d'un bel immeuble en pierre de taille de la rue du Moulin Vert, un appartement traversant d'une surface de 79,54 m² loi Carrez. Ce bien lumineux sans vis à vis se compose de : une entrée, un salon et une salle à manger sur rue exposés plein Sud, deux chambres dont une sur cour au calme absolu, une cuisine séparée, une salle de bains, toilettes invités. Ce appartement plein ciel au plan compact offre un très beau potentiel après rénovation.
Une cave complète ce bien.
DEP : E - GES : E"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-15-75015/1859923,Achat :Appartement T4- Paris 15 - Paris (75),Appartement T4,- Paris 15 - Paris (75),988000,91.68,3,"Un bel appartement traversant, calme et très lumineux, idéalement situé au premier étage.
L’entrée dessert une cuisine indépendante et un vaste séjour prolongé par un grand balcon filant. Le plan offre la possibilité d’ouvrir le salon sur l’actuelle salle à manger ou chambre/bureau, permettant un espace de réception encore plus généreux.
L’appartement comprend trois chambres — deux donnant sur un jardin arboré, la troisième sur rue — ainsi que deux salles de bains (dont une avec w.c.) et un second w.c. indépendant. De nombreux rangements optimisent l’ensemble.
Une cave située au premier sous-sol et une place de parking au deuxième sous-sol complètent utilement ce bien familial."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-17-75017/1814826,Achat :Appartement T5- Paris 17 - Paris (75),Appartement T5,- Paris 17 - Paris (75),890000,88.87,3,"SOUS OFFRE - Au 4ᵉ étage avec ascenseur d’un immeuble bien entretenu, appartement traversant de 5 pièces principales et d’une superficie d’environ 90 m².
Il comprend : une entrée, un séjour et une salle à manger exposés Sud-Ouest, une cuisine indépendante, trois chambres dont une de près de 14 m², une salle de bains et des WC séparés. Plusieurs espaces de rangement (placards, cellier).
L’appartement bénéficie du charme de l’ancien (parquet, moulures, cheminées) et d’une situation recherchée au cœur d’un quartier commerçant, à proximité immédiate des transports (métro ligne 3, RER C, tram T3b).
Une cave complète ce bien."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-19-75019/1843931,Achat :Appartement T4- Paris 19 - Paris (75),Appartement T4,- Paris 19 - Paris (75),475000,87.19,3,"PARIS 19 / ROSA PARKS - APPARTEMENT 4 PIÈCES BIS ÉTAGE ÉLEVÉ AVEC BALCONS + BOX + GRANDE CAVE
Au sein d'un immeuble moderne bien entretenu. Un bel appartement traversant de 4 pièces principales de 87,19m² (loi Carrez) au 8ème étage (avant-dernier) AVEC ascenseur. Baigné de lumière, il est composé d'une d'entrée avec placards, cuisine séparée, 2 chambres de 12m² (possibilité 3) avec accès 1ère loggia, salle d'eau, salle de bains, WC séparés et triple-séjour de 37,38m² avec 2ème loggia et vue Tour Eiffel.
Calme absolu
Belle double- exposition SUD-EST / NORD-OUEST.
Grande cave (13m²) et garage boxé au sous-sol de l'immeuble inclus dans le prix.
Chauffage et eau chaude collectifs GAZ.
Charges : 392€/mois - Taxe Foncière : 1.693€/an
DPE : Classe D (198kwH/m²/an) / GES : Classe D (43kgCO²/m²/an)
Tout à proximité immédiate. À visiter sans tarder !
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-06-75006/1834634,Achat :Appartement T5- Paris 6 - Paris (75),Appartement T5,- Paris 6 - Paris (75),3600000,184.9,3,"Rue de Condé, à quelques pas du Jardin du Luxembourg, au deuxième étage d'un élégant immeuble début XVIIIème, un appartement traversant de réception d'une surface de 184.9m² loi Carrez.
Ce bien aux volumes d'exception, avec une hauteur sous plafond de 4m, se compose de : une entrée, une salle à manger et un vaste salon sur rue, une cuisine séparée avec pièce attenante à l'entresol, une chambre avec salle d'eau sur rue, une chambre sur cour et une suite avec dressing et salle de bains au calme absolu, toilettes indépendants.
Cet appartement baigné de soleil bénéficie d'éléments anciens de caractères (cheminées, parquet Versailles, volets intérieurs, moulures) et profite d'un plan en étoile qui après rénovation lui confère un très beau potentiel. Rare"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-04-75004/1856906,Achat :Appartement T2- Paris 4 - Paris (75),Appartement T2,- Paris 4 - Paris (75),468000,39.9,1,"EXCLUSIVITÉ – 75004 PARIS – RUE DES ÉCOUFFES
Au cœur du quartier historique du Marais, à deux pas de la rue des Rosiers et du métro Saint-Paul (ligne 1), découvrez ce charmant 2 pièces de 39,9 m² situé au 3e étage avec ascenseur, au sein d’un immeuble ancien bien entretenu.
L’appartement se compose d’une entrée, d’une chambre au calme sur cour, d’une salle de bains avec WC, et d’un séjour lumineux sur rue avec cuisine ouverte. Exposition sud-ouest, poutres apparentes, belle hauteur sous plafond. Des travaux de rénovation sont à prévoir pour révéler tout son potentiel.
Chauffage individuel gaz – Copropriété sans procédure – Charges modérées.
Bien libre, inoccupé depuis le décès de l’ancienne occupante. Diagnostics réalisés.
DPE : E – GES : E – Estimation des dépenses : 1160 € à 1610 € / an
Taxe foncière en attente.
Prix de vente : 468 000 € FAI
Honoraires 4 % TTC à la charge de l’acquéreur."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-20-75020/1728971,Achat :Appartement T4- Paris 20 - Paris (75),Appartement T4,- Paris 20 - Paris (75),571450,84.16,3,"Cet appartement familial de 84,16 m² est situé dans le quartier de Belleville, dans le 20ᵉ arrondissement de Paris.
Le bien se trouve au 2ᵉ étage avec ascenseur dans une résidence entretenue et sécurisée, avec la présence d'un gardien.
L'agencement intérieur comprend un séjour, trois chambres, une salle de bains, une salle d'eau, un WC séparé, un office et une cuisine. Il dispose également de nombreux rangements.
Des travaux  de rénovation sont à prévoir.
Ce bien inclut une cave saine et une place de parking au sein de l'immeuble.
Les commerces sont à proximité immédiate, et un marché a lieu deux fois par semaine. La station de métro Couronnes (Ligne 2) est accessible.
Informations complémentaires :
Charges trimestrielles : 700 €
Taxe Foncière (2024) : 879 €"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-20-75020/1733141,Achat :Appartement T2- Paris 20 - Paris (75),Appartement T2,- Paris 20 - Paris (75),231000,49.7,1,"Tour Saint Blaise - Situé dans le quartier dynamique  du 20e arrondissement de Paris, cet appartement traversant de 2 pièces vendu loué représente une opportunité d'investissement idéale. Situé au 2ème étage d'un immeuble avec ascenseur, il offre un agencement optimisé.
L'appartement se compose d'un séjour spacieux de 19,26m², d'une cuisine séparée et fonctionnelle, d'une chambre de 9,55m² attenante à une salle de bain, un WC séparé. Une cave et un parking dans l'immeuble complètent ce bien.
Ce bien est vendu loué avec un bail d'habitation datant de 2014 permettant un revenu locatif immédiat. Le loyer mensuel s'élève à 857,16€ + 110€ de charges locatives soit 967,16€ Charges comprises."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-18-75018/1867799,Achat :Appartement T2- Paris 18 - Paris (75),Appartement T2,- Paris 18 - Paris (75),328140,28.73,1,"Au 3ème étage : entrée, séjour avec coin cuisine, chambres, salle d'eau avec wc
Cave en sous sol"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-18-75018/1833719,Achat :Appartement T3- Paris 18 - Paris (75),Appartement T3,- Paris 18 - Paris (75),665000,66.03,2,"Appartement de type 3 situé dans une copropriété au 4ème étage par escalier.
Il se compose d'une entrée, un grand salon, cuisine ouverte équipée, une buanderie, un wc et deux chambres.
Deux caves complètent ce bien.
Charge de copropriété annuelles: 1 112€"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-07-75007/1855327,Achat :Appartement T3- Paris 7 - Paris (75),Appartement T3,- Paris 7 - Paris (75),724000,53.88,2,"A deux pas de la rue Cler, rue du Champs de Mars, se trouve cet appartement de 3 pièces, 2 chambres, d'une superficie de 53,88m2 au 4ème étage sans ascenseur, donnant sur une cour au calme.
Il se compose d'une entrée avec des rangements, d'un séjour avec une cuisine semi-ouverte, de deux chambres, d'une salle d'eau et d'un toilette séparé.
L'appartement est en bon état général, aucun travaux à prévoir.
La copropriété est bien tenue, aucun travaux n'est à prévoir également.
Chauffage individuel - Cave"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-07-75007/1791461,Achat :Appartement T4- Paris 7 - Paris (75),Appartement T4,- Paris 7 - Paris (75),2173500,116.26,2,"EXCLUSIVITE, 7ème arrondissement, vue Tour Eiffel, proche toutes commodités, appartement de type 3 d'nviron 116m² situé au 4ème étage d'une résidence de standing comprenant : Hall d'entrée avec vestibule, cuisine aménagée et équipée, séjour (env 44m²), dégagement, 2 dressings, salle d'eau, salle de bains, 2 wc, 2 chambres, balcon. Garage et cave. PRIX : 2 173 500€ HNI (dont 73 500€ d'honoraires à la charge de l'acquéreur).
Logement à consommation énergétique excessive
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-06-75006/1811709,Achat :Appartement T4- Paris 6 - Paris (75),Appartement T4,- Paris 6 - Paris (75),1503400,82.0,2,"Dans le 6ème arrondissement de PARIS (75 006), au 4ème étage sur 5 avec ascenseur, dans un ravissant immeuble ancien bien tenu, un appartement de Type 4 à vendre d'environ 82m2 situé 130 rue d'Assas, à proximité immédiate du Jardin du Luxembourg,  L'appartement se compose d'une entrée, un salon-séjour d'environ 33m2 clair et profitant d'une vue dégagée sans vis à vis, une cuisine aménagée et équipée, un couloir (placards) desservant deux chambres à l'arrière côté cour (une avec placards), un wc et une salle d'eau. Chauffage électrique, chambres climatisées. Très bon état général. Cave privative. Copropriété gardiennée et sécurisée (deux appartements par palier). Libre de toute occupation.
Honoraires inclus de  3.68% TTC  à la charge de l'acquéreur. Prix hors honoraires 1 450 000 €. Dans une copropriété de 31 lots. Aucune procédure n'est en cours. Classe énergie E, Classe climat B Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1850.00 € et 2560.00 € sur les années 2021, 2022 et 2023 (abonnements compris). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-18-75018/1847710,Achat :Appartement T4- Paris 18 - Paris (75),Appartement T4,- Paris 18 - Paris (75),869999,81.32,3,"Situé dans le très convoité quartier des Abbesses, cet appartement se situé dans un bel immeuble d'époque au 2ème étage par escalier.
Il se compose d'une entrée, un couloir, un double séjour sur rue et une cuisine équipée séparée. Deux chambres sur cour, une chambre sur rue, une salle de bain avec baignoire et vasque et les commodités séparées.
Une cave en sous sol complète ce bien.
Cet appartement est plein de cachet, avec sa cheminée, son parquet et ses moulures.
Travaux de rénovation à prévoir
Charges annuelles de copropriété: 1 800€"
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-07-75007/1866992,Achat :Appartement T8- Paris 7 - Paris (75),Appartement T8,- Paris 7 - Paris (75),3600000,241.59,4,"Paris 7ème – Invalides / Avenue Constant Coquelin.
Exclusivité - Au 6ème et dernier étage noble d’un élégant immeuble en pierre de taille de bon standing, doté d’un ascenseur s'arrêtant au 5ème étage et d’un gardien, découvrez ce bel appartement familial et de réception de 241,59m² (loi Carrez) à rénover. Bénéficiant d’une belle hauteur sous plafond de 3m, d’une luminosité remarquable et de beaux éléments d’origine, il s’ouvre sur une élégante galerie d’entrée menant à deux vastes séjours prolongés par un large balcon filant de 16,45 m². Il comprend également une salle à manger, une cuisine indépendante, 3/4 chambres, un bureau, deux salles de bains (dont une avec WC), de nombreux rangements et des WC séparés.
Au 7ème étage, trois chambres de service réunissables de 7,89m², 10,73m² et 7,24m² (Carrez) complètent ce bien rare, ainsi que deux caves en sous-sol.
Un double box en enfilade, situé à proximité, peut être vendu en sus du prix."
75,https://www.immobilier.notaires.fr/fr/annonce-immo/vente/appartement/paris-17-75017/1866438,Achat :Appartement T2- Paris 17 - Paris (75),Appartement T2,- Paris 17 - Paris (75),290000,29.14,1,"Au cœur de la Cité des Fleurs, dans un environnement arboré et sécurisé, un appartement lumineux de 29,14 m² loi Carrez. Au premier étage sur cour, ce bien au calme absolu se compose d'une pièce de vie, une cuisine, une chambre, une salle d'eau avec toilettes.
Cet appartement au plan compact bénéficie d'une très belle luminosité et d'agréables volumes dans un des passages prisés du quartier.
Charges de copropriété annuelles : 1.360€"
